time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,temp_raw
16918,-15988,-354,-1634,-709,-66,-55,-3589
16928,-15950,-362,-1744,-717,-34,-55,-3591
16939,-16042,-392,-1700,-713,-34,-35,-3587
16949,-16002,-388,-1748,-725,-50,-25,-3589
16959,-16068,-354,-1608,-723,-57,-21,-3590
16969,-15978,-326,-1672,-713,-63,-30,-3588
16979,-15984,-314,-1642,-704,-49,-17,-3591
16989,-15978,-274,-1666,-702,-60,-18,-3585
16999,-16022,-380,-1616,-708,-56,-29,-3584
17009,-16016,-338,-1676,-713,-38,-47,-3588
17019,-16040,-312,-1726,-718,-56,-45,-3588
17029,-15978,-314,-1746,-717,-57,-35,-3589
17039,-16022,-344,-1678,-714,-52,-34,-3590
17049,-15946,-306,-1722,-707,-66,-33,-3589
17059,-16012,-278,-1778,-712,-61,-21,-3590
17069,-16014,-288,-1596,-707,-60,-35,-3588
17079,-16044,-302,-1556,-706,-74,-47,-3588
17089,-15934,-326,-1604,-713,-61,-51,-3589
17099,-15960,-320,-1656,-718,-45,-43,-3590
17110,-15982,-322,-1606,-716,-51,-21,-3590
17120,-16008,-362,-1714,-712,-48,-14,-3587
17130,-16040,-372,-1742,-723,-68,-19,-3581
17140,-16074,-364,-1668,-728,-57,-14,-3579
17150,-15972,-294,-1610,-718,-66,-19,-3579
17160,-16080,-248,-1614,-714,-61,-19,-3586
17170,-16028,-274,-1660,-711,-60,-35,-3588
17180,-16004,-380,-1598,-713,-59,-46,-3587
17190,-15980,-300,-1616,-712,-49,-42,-3588
17200,-15968,-344,-1734,-706,-40,-37,-3587
17210,-16052,-330,-1704,-708,-55,-44,-3586
17220,-15996,-396,-1708,-706,-61,-59,-3580
17230,-15992,-400,-1700,-722,-74,-59,-3587
17240,-15972,-370,-1702,-723,-74,-46,-3592
17250,-15980,-364,-1670,-724,-94,-33,-3590
17260,-15992,-262,-1718,-727,-66,-11,-3591
17270,-15950,-292,-1618,-721,-48,-7,-3586
17280,-16040,-262,-1628,-719,-47,-10,-3592
17290,-16034,-344,-1630,-703,-44,-40,-3587
17300,-15984,-326,-1792,-696,-35,-45,-3588
17310,-15998,-380,-1714,-705,-46,-38,-3585
17320,-15990,-352,-1690,-716,-76,-35,-3580
17330,-15970,-338,-1668,-721,-71,-30,-3583
17340,-15972,-318,-1702,-711,-62,-33,-3579
17350,-16060,-256,-1684,-705,-44,-38,-3588
17360,-15970,-314,-1686,-708,-60,-57,-3595
17370,-15964,-230,-1768,-712,-63,-58,-3587
17380,-15940,-364,-1628,-723,-66,-45,-3588
17390,-15998,-396,-1656,-723,-58,-30,-3583
17400,-16020,-380,-1740,-725,-42,-31,-3585
17410,-15970,-306,-1778,-711,-42,-38,-3592
17420,-16062,-340,-1672,-713,-64,-37,-3582
17430,-16018,-338,-1586,-711,-57,-38,-3582
17440,-16000,-298,-1650,-714,-40,-40,-3582
17451,-15984,-306,-1664,-715,-42,-28,-3585
17461,-16000,-290,-1708,-714,-56,-40,-3593
17471,-15990,-374,-1702,-718,-42,-50,-3587
17481,-16060,-456,-1734,-721,-44,-45,-3582
17491,-15986,-436,-1680,-720,-69,-41,-3578
17501,-15964,-316,-1682,-713,-53,-17,-3584
17511,-15986,-266,-1744,-719,-50,-12,-3581
17521,-15996,-370,-1590,-726,-60,-20,-3583
17531,-15972,-320,-1690,-733,-69,-15,-3590
17541,-15992,-344,-1668,-730,-58,-12,-3591
17551,-16098,-338,-1602,-721,-56,-16,-3593
17561,-15976,-302,-1598,-697,-65,-46,-3587
17571,-15998,-254,-1686,-700,-35,-38,-3587
17581,-16092,-268,-1700,-706,-37,-26,-3585
17591,-15974,-354,-1620,-706,-62,-41,-3589
17601,-16078,-294,-1724,-699,-61,-32,-3591
17611,-16006,-290,-1762,-686,-65,-68,-3594
17622,-15988,-274,-1688,-688,-72,-87,-3588
17632,-15936,-390,-1690,-703,-61,-61,-3583
17642,-15988,-338,-1678,-715,-29,-19,-3586
17652,-16024,-300,-1724,-719,-19,16,-3587
17662,-16044,-280,-1668,-715,-25,16,-3585
17672,-16068,-216,-1684,-697,-38,-14,-3585
17682,-16014,-300,-1686,-704,-73,-77,-3591
17692,-15994,-374,-1614,-727,-89,-108,-3586
17702,-15962,-402,-1662,-723,-80,-79,-3585
17712,-16016,-368,-1644,-713,-52,-28,-3583
17722,-16038,-328,-1672,-699,-44,-16,-3583
17732,-15956,-330,-1688,-697,-51,-37,-3588
17742,-15984,-334,-1694,-715,-64,-37,-3589
17752,-15968,-346,-1656,-728,-57,-21,-3587
17762,-16038,-392,-1618,-731,-52,-14,-3585
17772,-15994,-390,-1670,-731,-51,1,-3584
17782,-16054,-326,-1742,-729,-40,11,-3589
17792,-16074,-242,-1708,-720,-31,8,-3585
17802,-16042,-346,-1688,-729,-38,-14,-3588
17812,-16000,-316,-1610,-721,-50,-26,-3587
17822,-15994,-366,-1682,-716,-56,-32,-3588
17832,-15990,-358,-1620,-717,-45,-20,-3584
17842,-16034,-306,-1722,-711,-50,-24,-3588
17852,-16010,-330,-1764,-718,-56,-51,-3583
17862,-16074,-396,-1652,-712,-57,-52,-3591
17872,-15970,-376,-1624,-715,-58,-50,-3590
17882,-16020,-346,-1756,-719,-43,-26,-3585
17892,-16056,-338,-1758,-724,-57,-26,-3587
17902,-16022,-308,-1688,-724,-67,-23,-3585
17912,-15998,-302,-1560,-714,-62,-25,-3589
17922,-16024,-352,-1678,-691,-50,-34,-3588
17932,-16032,-304,-1634,-691,-51,-36,-3587
17942,-16078,-282,-1720,-694,-55,-53,-3584
17952,-15994,-340,-1688,-710,-81,-70,-3589
